id,name,origin_city,origin_state,origin_lat,origin_lng,dest_city,dest_state,dest_lat,dest_lng,route_miles,route_duration_hours,pickup_time,pickup_end_time,delivery_time,delivery_end_time,dwell_hours,active_days
rs7649a3gft7vkygeeam0acpmd83n9fy,9173Q-103,Colton,CA,34.0430336,-117.333347,San Diego,CA,32.984857,-117.0801437,82.22,1.32,4:45:00,5:00:00,7:30:00,7:45:00,0.5,"1,2,3,4,5,6"
rs75h7wny8qmsjn7t3gjyza52x83ngfv,9173Q-104,San Diego,CA,32.984857,-117.0801437,Colton,CA,34.0430336,-117.333347,82.79,1.41,7:45:00,8:00:00,10:00:00,10:15:00,0.5,"1,2,3,4,5,6"
rs72afy7kp590anmy0bb9ww61183n6dh,9173Q-105,Colton,CA,34.0430336,-117.333347,San Diego,CA,32.984857,-117.0801437,82.22,1.32,16:35:00,16:49:59,18:15:00,18:30:00,0.5,"1,2,3,4,5,6"
rs7dp3x19y9p6jwa6cfmgw073s83mwga,9173Q-106,San Diego,CA,32.984857,-117.0801437,Colton,CA,34.0430336,-117.333347,82.79,1.41,18:30:00,18:45:00,21:00:00,21:15:00,0.5,"1,2,3,4,5,6"
rs7arm516td01zqtta14h8ws3s83nycs,9173Q-107,Colton,CA,34.0430336,-117.333347,San Diego,CA,32.984857,-117.0801437,82.22,1.32,20:45:00,21:00:00,23:30:00,23:45:00,0.5,"1,2,3,4,5"
rs7bbgg3z4tn68s64e1eyz7wqh83nag2,9173Q-108,San Diego,CA,32.984857,-117.0801437,Colton,CA,34.0430336,-117.333347,82.79,1.41,23:45:00,0:01:00,2:00:00,2:15:00,0.5,"2,3,4,5,6"
rs78xkan9as0avpfpje23wjne183nd39,9173Q-201,Colton,CA,34.0430336,-117.333347,San Diego,CA,32.984857,-117.0801437,82.22,1.32,12:15:00,12:30:00,15:30:00,15:45:00,0.5,"2,4,6"
rs7enps7238jzv4gpv3bn5cn3583n3vj,9173Q-202,San Diego,CA,32.984857,-117.0801437,Colton,CA,34.0430336,-117.333347,82.79,1.41,15:45:00,16:00:00,19:00:00,19:15:00,0.5,"2,4,6"
rs73pcafn9pn0pj8wc7p68yv1x83nh1a,9173Q-203,Colton,CA,34.0430336,-117.333347,San Diego,CA,32.984857,-117.0801437,157.48,2.51,12:15:00,12:30:00,17:30:00,17:45:00,0.5,"1,3,5"
rs79e5savzaa6wtgewctswxewh83mm1d,9173Q-204,San Diego,CA,32.984857,-117.0801437,Colton,CA,34.0430336,-117.333347,82.79,1.41,17:45:00,18:00:00,21:00:00,21:15:00,0.5,"1,3,5"
rs71jnwzjjat90pyprds6rqcrn83mmc5,9173Q-205,Colton,CA,34.0430336,-117.333347,San Diego,CA,32.984857,-117.0801437,82.22,1.32,8:00:00,8:15:00,10:30:00,10:45:00,0.5,"1,2,3,4,5,6"
rs78g8q6d5ae6wt29912t0x7ds83mn7x,9173Q-206,San Diego,CA,32.984857,-117.0801437,Colton,CA,34.0430336,-117.333347,82.79,1.41,10:45:00,11:00:00,13:00:00,13:15:00,0.5,"1,2,3,4,5,6"
rs7ec685wy082annghmbjc5nt983nhf0,9173Q-301,Colton,CA,34.0430336,-117.333347,Las Vegas,CA,36.0707665,-115.1387055,259.03,3.99,4:15:00,4:30:00,11:00:00,11:15:00,0.5,"1,3,5"
rs7acpmfbz68tywf95kn6t8frn83mbtp,9173Q-302,Las Vegas,CA,36.0707665,-115.1387055,Colton,CA,34.0430336,-117.333347,226.42,3.42,11:15:00,11:30:00,16:45:00,17:00:00,0.5,"1,3,5"
rs7adyrg19tccfw3e6v0ntc0v983nja7,9173Q-303,Colton,CA,34.0430336,-117.333347,Las Vegas,CA,36.0707665,-115.1387055,253.54,3.97,14:15:00,14:30:00,21:10:00,21:15:00,0.5,"1,2,3,4,5"
rs7eqgyxfh8w36tdbkbpwe3jph83n7my,9173Q-304,Las Vegas,CA,36.0707665,-115.1387055,Colton,CA,34.0430336,-117.333347,226.42,3.42,21:15:00,21:30:00,2:45:00,3:00:00,0.5,"1,2,3,4,5"
rs74e07ndyx2aasxfy8ar4k08583nzgw,9173Q-307,Colton,CA,34.0430336,-117.333347,Las Vegas,CA,36.0707665,-115.1387055,226.11,3.39,2:45:00,3:00:00,8:15:00,8:20:00,0.5,"1,2,3,4,5,6"
rs7ews2phxwm3zj62w5a22xb1h83mntb,9173Q-308,Las Vegas,CA,36.0707665,-115.1387055,Colton,CA,34.0430336,-117.333347,226.42,3.42,8:20:00,8:30:00,13:00:00,13:15:00,0.5,"1,2,3,4,5,6"
rs75d6fp2zhwvjk7bshtrqpxj983ndcd,9173Q-403,Colton,CA,34.0430336,-117.333347,City of Industry,CA,34.0150204,-117.9705143,41.08,0.75,10:45:00,11:00:00,12:15:00,12:30:00,0.5,"1,2,3,4,5"
rs7559ft299pgjewhqj88p1kw983nrsd,9173Q-404,City of Industry,CA,34.0150204,-117.9705143,Colton,CA,34.0430336,-117.333347,43.46,0.78,12:30:00,12:45:00,13:30:00,13:45:00,0.5,"1,2,3,4,5"
rs7bb9w4ctgdk5p57beaayqm5983m2vh,9173Q-409,Colton,CA,34.0430336,-117.333347,City of Industry,CA,34.0150204,-117.9705143,41.08,0.75,13:45:00,14:00:00,15:15:00,15:30:00,0.5,"1,2,3,4,5"
rs78m5aj9e22hkmgaav89b802s83mcv3,9173Q-410,City of Industry,CA,34.0150204,-117.9705143,Colton,CA,34.0430336,-117.333347,43.46,0.78,15:30:00,15:45:00,17:00:00,17:15:00,0.5,"1,2,3,4,5"
rs7fhy4ntfjky8f3f1ys85t06s83md27,9173Q-601,Colton,CA,34.0430336,-117.333347,Santa Ana,CA,33.6963034,-117.9115662,59.07,1.13,5:35:00,5:50:00,8:45:00,9:00:00,0.5,"3"
rs7d21my1xqk2xgfbtw63arnsx83mkcd,9173Q-602,Santa Ana,CA,33.6963034,-117.9115662,Colton,CA,34.0430336,-117.333347,51.62,0.94,9:00:00,9:15:00,10:15:00,10:30:00,0.5,"3"
rs737v3evf4e5svpg5bbyemvsd83mgs8,9173Q-605,Colton,CA,34.0430336,-117.333347,Santa Ana,CA,33.6963034,-117.9115662,50.35,0.88,9:45:00,10:00:00,11:00:00,11:15:00,0.5,"1,2,3,4,5,6"
rs7by3cwg7jh070y8h26xqf3rs83mcgd,9173Q-606,Santa Ana,CA,33.6963034,-117.9115662,Colton,CA,34.0430336,-117.333347,51.62,0.94,11:15:00,11:30:00,12:30:00,12:45:00,0.5,"1,2,3,4,5,6"
rs7798ewsjarxdsvjxkagvbpv583nmac,9173Q-607,Colton,CA,34.0430336,-117.333347,Santa Ana,CA,33.6963034,-117.9115662,50.35,0.88,7:45:00,8:00:00,9:00:00,9:15:00,0.5,"1,2,3,4,5,6"
