id,name,origin_city,origin_state,origin_lat,origin_lng,dest_city,dest_state,dest_lat,dest_lng,route_miles,route_duration_hours,pickup_time,pickup_end_time,delivery_time,delivery_end_time,dwell_hours,active_days
9173Q-103,9173Q-103,Colton,CA,34.043,-117.3333,San Diego,CA,32.9849,-117.0801,82.2,1.32,4:45:00,5:00:00,7:30:00,7:45:00,0.5,"1,2,3,4,5,6"
9173Q-104,9173Q-104,San Diego,CA,32.9849,-117.0801,Colton,CA,34.043,-117.3333,82.8,1.41,7:45:00,8:00:00,10:00:00,10:15:00,0.5,"1,2,3,4,5,6"
9173Q-105,9173Q-105,Colton,CA,34.043,-117.3333,San Diego,CA,32.9849,-117.0801,82.2,1.32,16:35:00,16:49:59,18:15:00,18:30:00,0.5,"1,2,3,4,5,6"
9173Q-106,9173Q-106,San Diego,CA,32.9849,-117.0801,Colton,CA,34.043,-117.3333,82.8,1.41,18:30:00,18:45:00,21:00:00,21:15:00,0.5,"1,2,3,4,5,6"
9173Q-107,9173Q-107,Colton,CA,34.043,-117.3333,San Diego,CA,32.9849,-117.0801,82.2,1.32,20:45:00,21:00:00,23:30:00,23:45:00,0.5,"1,2,3,4,5"
9173Q-108,9173Q-108,San Diego,CA,32.9849,-117.0801,Colton,CA,34.043,-117.3333,82.8,1.41,23:45:00,0:01:00,2:00:00,2:15:00,0.5,"2"
9173Q-201,9173Q-201,Colton,CA,34.043,-117.3333,San Diego,CA,32.9849,-117.0801,82.2,1.32,12:15:00,12:30:00,15:30:00,15:45:00,0.5,"2,4,6"
9173Q-202,9173Q-202,San Diego,CA,32.9849,-117.0801,Colton,CA,34.043,-117.3333,82.8,1.41,15:45:00,16:00:00,19:00:00,19:15:00,0.5,"2,4,6"
9173Q-203,9173Q-203,Colton,CA,34.043,-117.3333,San Diego,CA,32.9849,-117.0801,82.2,1.32,12:15:00,12:30:00,17:30:00,17:45:00,0.5,"1,3,5"
9173Q-204,9173Q-204,San Diego,CA,32.9849,-117.0801,Colton,CA,34.043,-117.3333,82.8,1.41,17:45:00,18:00:00,21:00:00,21:15:00,0.5,"1,3,5"
9173Q-205,9173Q-205,Colton,CA,34.043,-117.3333,San Diego,CA,32.9849,-117.0801,82.2,1.32,8:00:00,8:15:00,10:30:00,10:45:00,0.5,"1,2,3,4,5,6"
9173Q-206,9173Q-206,San Diego,CA,32.9849,-117.0801,Colton,CA,34.043,-117.3333,82.8,1.41,10:45:00,11:00:00,13:00:00,13:15:00,0.5,"1,2,3,4,5,6"
